InningsNo,OverNo,BattingTeamID,OverRuns,BowlerRuns,BowlerID,Wickets,Bowler
1,16,0,7,7,2019-100mb00000000258-e46e7f697acb11,0,Mustafizur Rahman
1,17,0,25,25,2020-100mb00000000539-04833b65639b11,0,Tushar Deshpande
1,18,0,16,15,2019-100mb00000000258-e46e7f697acb11,0,Mustafizur Rahman
1,19,0,9,9,2020-100mb00000000539-04833b65639b11,1,Tushar Deshpande
2,0,0,8,8,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,1,0,5,5,2022-100mb00000000978-bc824605a44611,0,Yash Dayal
2,2,0,15,15,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,3,0,10,10,2022-100mb00000000978-bc824605a44611,1,Yash Dayal
2,4,0,11,11,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
2,5,0,13,13,2022-100mb00000000978-bc824605a44611,0,Yash Dayal
2,6,0,9,9,2019-100mb00000000098-7a8c366b43f611,1,Karn Sharma
2,7,0,2,2,2022-100mb00000001547-613ed5ea54ee11,0,Mayank Dagar
2,8,0,15,15,2019-100mb00000000098-7a8c366b43f611,0,Karn Sharma
2,9,0,4,4,2022-100mb00000001547-613ed5ea54ee11,0,Mayank Dagar
2,10,0,10,10,2020-100mb00000000550-247665a42ff311,1,Cameron Green
2,11,0,7,7,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
2,12,0,5,5,2020-100mb00000000550-247665a42ff311,1,Cameron Green
2,13,0,7,7,2018-100mb00000000028-acc7d0a3e99d11,0,Glenn Maxwell
2,14,0,7,7,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,15,0,12,12,2020-100mb00000000550-247665a42ff311,0,Cameron Green
2,16,0,16,12,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
2,17,0,8,8,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,18,0,12,8,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
1,0,0,10,10,2019-100mb00000000138-5bd8fcf6449d11,0,Sam Curran
1,1,0,11,11,2019-100mb00000000125-2485f88b449911,0,Arshdeep Singh
1,2,0,12,7,2019-100mb00000000116-dbd48930449611,0,Kagiso Rabada
1,3,0,7,7,2019-100mb00000000125-2485f88b449911,1,Arshdeep Singh
1,4,0,11,11,2019-100mb00000000116-dbd48930449611,0,Kagiso Rabada
1,5,0,3,3,2019-100mb00000000130-89338eb7449a11,0,Harpreet Brar
1,6,0,14,14,2019-100mb00000000171-b2aa538f44ae11,0,Rahul Chahar
1,7,0,6,6,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
1,8,0,5,5,2019-100mb00000000130-89338eb7449a11,0,Harpreet Brar
1,9,0,7,7,2019-100mb00000000171-b2aa538f44ae11,0,Rahul Chahar
1,10,0,9,9,2019-100mb00000000116-dbd48930449611,1,Kagiso Rabada
1,11,0,8,8,2019-100mb00000000171-b2aa538f44ae11,0,Rahul Chahar
1,12,0,8,8,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
1,13,0,6,6,2019-100mb00000000130-89338eb7449a11,1,Harpreet Brar
1,14,0,7,7,2019-100mb00000000125-2485f88b449911,0,Arshdeep Singh
1,15,0,4,4,2019-100mb00000000171-b2aa538f44ae11,1,Rahul Chahar
1,16,0,9,9,2019-100mb00000000116-dbd48930449611,0,Kagiso Rabada
1,17,0,9,8,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
1,18,0,3,3,2019-100mb00000000125-2485f88b449911,1,Arshdeep Singh
1,19,0,25,25,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
2,0,0,17,17,2018-100mb00000000008-787fc4ece99b11,0,Khaleel Ahmed
2,1,0,8,8,2018-100mb00000000050-4663b710f88b11,0,Ishant Sharma
2,2,0,9,9,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,3,0,8,8,2018-100mb00000000050-4663b710f88b11,2,Ishant Sharma
2,4,0,11,11,2018-100mb00000000008-787fc4ece99b11,0,Khaleel Ahmed
2,5,0,7,7,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,6,0,7,6,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,7,0,8,8,2018-100mb00000000014-227bc550e99c11,0,Kuldeep Yadav
2,8,0,8,8,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,9,0,4,3,2018-100mb00000000014-227bc550e99c11,1,Kuldeep Yadav
2,10,0,11,11,2022-100mb00000001535-6fd8867c54e911,0,Sumit Kumar
2,11,0,5,5,2018-100mb00000000014-227bc550e99c11,1,Kuldeep Yadav
2,12,0,5,5,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,13,0,4,4,2018-100mb00000000014-227bc550e99c11,0,Kuldeep Yadav
2,14,0,18,18,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,15,0,6,6,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,16,0,11,11,2018-100mb00000000008-787fc4ece99b11,0,Khaleel Ahmed
2,17,0,18,18,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,18,0,4,4,2018-100mb00000000008-787fc4ece99b11,2,Khaleel Ahmed
2,19,0,8,8,2022-100mb00000001535-6fd8867c54e911,0,Sumit Kumar
1,0,0,10,10,2019-100mb00000000138-5bd8fcf6449d11,0,Sam Curran
1,1,0,11,11,2019-100mb00000000125-2485f88b449911,0,Arshdeep Singh
1,2,0,12,7,2019-100mb00000000116-dbd48930449611,0,Kagiso Rabada
1,3,0,7,7,2019-100mb00000000125-2485f88b449911,1,Arshdeep Singh
1,4,0,11,11,2019-100mb00000000116-dbd48930449611,0,Kagiso Rabada
1,5,0,3,3,2019-100mb00000000130-89338eb7449a11,0,Harpreet Brar
1,6,0,14,14,2019-100mb00000000171-b2aa538f44ae11,0,Rahul Chahar
1,7,0,6,6,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
1,8,0,5,5,2019-100mb00000000130-89338eb7449a11,0,Harpreet Brar
1,9,0,7,7,2019-100mb00000000171-b2aa538f44ae11,0,Rahul Chahar
1,10,0,9,9,2019-100mb00000000116-dbd48930449611,1,Kagiso Rabada
1,11,0,8,8,2019-100mb00000000171-b2aa538f44ae11,0,Rahul Chahar
1,12,0,8,8,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
1,13,0,6,6,2019-100mb00000000130-89338eb7449a11,1,Harpreet Brar
1,14,0,7,7,2019-100mb00000000125-2485f88b449911,0,Arshdeep Singh
1,15,0,4,4,2019-100mb00000000171-b2aa538f44ae11,1,Rahul Chahar
1,16,0,9,9,2019-100mb00000000116-dbd48930449611,0,Kagiso Rabada
1,17,0,9,8,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
1,18,0,3,3,2019-100mb00000000125-2485f88b449911,1,Arshdeep Singh
1,19,0,25,25,2019-100mb00000000114-8c98068c449611,1,Harshal Patel
2,0,0,17,17,2018-100mb00000000008-787fc4ece99b11,0,Khaleel Ahmed
2,1,0,8,8,2018-100mb00000000050-4663b710f88b11,0,Ishant Sharma
2,2,0,9,9,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,3,0,8,8,2018-100mb00000000050-4663b710f88b11,2,Ishant Sharma
2,4,0,11,11,2018-100mb00000000008-787fc4ece99b11,0,Khaleel Ahmed
2,5,0,7,7,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,6,0,7,6,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,7,0,8,8,2018-100mb00000000014-227bc550e99c11,0,Kuldeep Yadav
2,8,0,8,8,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,9,0,4,3,2018-100mb00000000014-227bc550e99c11,1,Kuldeep Yadav
2,10,0,11,11,2022-100mb00000001535-6fd8867c54e911,0,Sumit Kumar
2,11,0,5,5,2018-100mb00000000014-227bc550e99c11,1,Kuldeep Yadav
2,12,0,5,5,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,13,0,4,4,2018-100mb00000000014-227bc550e99c11,0,Kuldeep Yadav
2,14,0,18,18,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,15,0,6,6,2019-100mb00000000110-79ae08f5449411,0,Axar Patel
2,16,0,11,11,2018-100mb00000000008-787fc4ece99b11,0,Khaleel Ahmed
2,17,0,18,18,2018-100mb00000000040-7f15f6c7f88a11,0,Mitchell Marsh
2,18,0,4,4,2018-100mb00000000008-787fc4ece99b11,2,Khaleel Ahmed
2,19,0,8,8,2022-100mb00000001535-6fd8867c54e911,0,Sumit Kumar
1,0,0,3,3,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,1,0,20,20,2021-100mb00000000586-8238f85f91de11,1,Marco Jansen
1,2,0,4,4,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,3,0,5,5,2019-100mb00000000224-85b4cb8c44c011,2,T Natarajan
1,4,0,7,7,2018-100mb00000000033-d93110bbf88911,0,Pat Cummins
1,5,0,4,4,2019-100mb00000000224-85b4cb8c44c011,0,T Natarajan
1,6,0,6,6,2021-100mb00000000586-8238f85f91de11,0,Marco Jansen
1,7,0,4,4,2019-100mb00000000087-98d4e401342511,1,Mayank Markande
1,8,0,13,13,2018-100mb00000000033-d93110bbf88911,0,Pat Cummins
1,9,0,11,11,2019-100mb00000000087-98d4e401342511,0,Mayank Markande
1,10,0,14,14,2021-100mb00000000586-8238f85f91de11,0,Marco Jansen
1,11,0,14,14,2020-100mb00000000523-53bc4c09638b11,0,Shahbaz Ahmed
1,12,0,8,8,2018-100mb00000000033-d93110bbf88911,1,Pat Cummins
1,13,0,6,6,2019-100mb00000000087-98d4e401342511,1,Mayank Markande
1,14,0,4,4,2018-100mb00000000033-d93110bbf88911,0,Pat Cummins
1,15,0,18,18,2019-100mb00000000087-98d4e401342511,0,Mayank Markande
1,16,0,18,18,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,17,0,15,15,2019-100mb00000000224-85b4cb8c44c011,0,T Natarajan
1,18,0,26,26,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,19,0,8,8,2019-100mb00000000224-85b4cb8c44c011,1,T Natarajan
2,0,0,12,12,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,1,0,5,5,2022-100mb00000001013-30676520bcc011,0,Harshit Rana
2,2,0,10,10,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,3,0,13,13,2022-100mb00000001013-30676520bcc011,0,Harshit Rana
2,4,0,18,18,2019-100mb00000000140-a41b85f2449d11,0,Varun Chakaravarthy
2,5,0,7,7,2022-100mb00000001013-30676520bcc011,1,Harshit Rana
2,6,0,2,2,2019-100mb00000000156-a6b6f42c44aa11,0,Sunil Narine
2,7,0,10,9,2019-100mb00000000141-e67c41d144a711,1,Andre Russell
2,8,0,8,8,2019-100mb00000000156-a6b6f42c44aa11,0,Sunil Narine
2,9,0,14,14,2023-100mb00000001932-5539f1d7c3fd11,0,Suyash Sharma
2,10,0,6,6,2019-100mb00000000156-a6b6f42c44aa11,0,Sunil Narine
2,11,0,3,3,2019-100mb00000000140-a41b85f2449d11,1,Varun Chakaravarthy
2,12,0,3,3,2019-100mb00000000156-a6b6f42c44aa11,1,Sunil Narine
2,13,0,4,4,2023-100mb00000001932-5539f1d7c3fd11,0,Suyash Sharma
2,14,0,13,13,2019-100mb00000000140-a41b85f2449d11,0,Varun Chakaravarthy
2,15,0,5,5,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,16,0,16,16,2019-100mb00000000141-e67c41d144a711,1,Andre Russell
2,17,0,21,21,2019-100mb00000000140-a41b85f2449d11,0,Varun Chakaravarthy
2,18,0,26,26,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,19,0,8,8,2022-100mb00000001013-30676520bcc011,2,Harshit Rana
1,0,0,3,3,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,1,0,20,20,2021-100mb00000000586-8238f85f91de11,1,Marco Jansen
1,2,0,4,4,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,3,0,5,5,2019-100mb00000000224-85b4cb8c44c011,2,T Natarajan
1,4,0,7,7,2018-100mb00000000033-d93110bbf88911,0,Pat Cummins
1,5,0,4,4,2019-100mb00000000224-85b4cb8c44c011,0,T Natarajan
1,6,0,6,6,2021-100mb00000000586-8238f85f91de11,0,Marco Jansen
1,7,0,4,4,2019-100mb00000000087-98d4e401342511,1,Mayank Markande
1,8,0,13,13,2018-100mb00000000033-d93110bbf88911,0,Pat Cummins
1,9,0,11,11,2019-100mb00000000087-98d4e401342511,0,Mayank Markande
1,10,0,14,14,2021-100mb00000000586-8238f85f91de11,0,Marco Jansen
1,11,0,14,14,2020-100mb00000000523-53bc4c09638b11,0,Shahbaz Ahmed
1,12,0,8,8,2018-100mb00000000033-d93110bbf88911,1,Pat Cummins
1,13,0,6,6,2019-100mb00000000087-98d4e401342511,1,Mayank Markande
1,14,0,4,4,2018-100mb00000000033-d93110bbf88911,0,Pat Cummins
1,15,0,18,18,2019-100mb00000000087-98d4e401342511,0,Mayank Markande
1,16,0,18,18,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,17,0,15,15,2019-100mb00000000224-85b4cb8c44c011,0,T Natarajan
1,18,0,26,26,2018-100mb00000000015-3501d442e99c11,0,Bhuvneshwar Kumar
1,19,0,8,8,2019-100mb00000000224-85b4cb8c44c011,1,T Natarajan
2,0,0,12,12,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,1,0,5,5,2022-100mb00000001013-30676520bcc011,0,Harshit Rana
2,2,0,10,10,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,3,0,13,13,2022-100mb00000001013-30676520bcc011,0,Harshit Rana
2,4,0,18,18,2019-100mb00000000140-a41b85f2449d11,0,Varun Chakaravarthy
2,5,0,7,7,2022-100mb00000001013-30676520bcc011,1,Harshit Rana
2,6,0,2,2,2019-100mb00000000156-a6b6f42c44aa11,0,Sunil Narine
2,7,0,10,9,2019-100mb00000000141-e67c41d144a711,1,Andre Russell
2,8,0,8,8,2019-100mb00000000156-a6b6f42c44aa11,0,Sunil Narine
2,9,0,14,14,2023-100mb00000001932-5539f1d7c3fd11,0,Suyash Sharma
2,10,0,6,6,2019-100mb00000000156-a6b6f42c44aa11,0,Sunil Narine
2,11,0,3,3,2019-100mb00000000140-a41b85f2449d11,1,Varun Chakaravarthy
2,12,0,3,3,2019-100mb00000000156-a6b6f42c44aa11,1,Sunil Narine
2,13,0,4,4,2023-100mb00000001932-5539f1d7c3fd11,0,Suyash Sharma
2,14,0,13,13,2019-100mb00000000140-a41b85f2449d11,0,Varun Chakaravarthy
2,15,0,5,5,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,16,0,16,16,2019-100mb00000000141-e67c41d144a711,1,Andre Russell
2,17,0,21,21,2019-100mb00000000140-a41b85f2449d11,0,Varun Chakaravarthy
2,18,0,26,26,2018-100mb00000000031-b334eaf6f08611,0,Mitchell Starc
2,19,0,8,8,2022-100mb00000001013-30676520bcc011,2,Harshit Rana
1,0,0,3,3,2020-100mb00000000541-c84d8371639b11,0,Mohsin Khan
1,1,0,10,10,2021-100mb00000000639-cf9c67ec2fe411,1,Naveen-Ul-Haq
1,2,0,11,11,2020-100mb00000000541-c84d8371639b11,0,Mohsin Khan
1,3,0,8,8,2021-100mb00000000639-cf9c67ec2fe411,0,Naveen-Ul-Haq
1,4,0,17,17,2020-100mb00000000541-c84d8371639b11,1,Mohsin Khan
1,5,0,5,5,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,6,0,5,5,2020-100mb00000000520-c2b1e0df638711,0,Ravi Bishnoi
1,7,0,4,4,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,8,0,21,21,2022-100mb00000001550-b8b1d54854ee11,0,Yash Thakur
1,9,0,5,4,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,10,0,15,15,2020-100mb00000000520-c2b1e0df638711,0,Ravi Bishnoi
1,11,0,6,6,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,12,0,9,9,2020-100mb00000000520-c2b1e0df638711,0,Ravi Bishnoi
1,13,0,9,9,2022-100mb00000001550-b8b1d54854ee11,0,Yash Thakur
1,14,0,15,15,2021-100mb00000000639-cf9c67ec2fe411,1,Naveen-Ul-Haq
1,15,0,6,6,2022-100mb00000000985-f5950061a44811,0,Ayush Badoni
1,16,0,9,9,2020-100mb00000000520-c2b1e0df638711,1,Ravi Bishnoi
1,17,0,13,13,2022-100mb00000001550-b8b1d54854ee11,0,Yash Thakur
1,18,0,8,8,2021-100mb00000000639-cf9c67ec2fe411,0,Naveen-Ul-Haq
1,19,0,14,14,2020-100mb00000000541-c84d8371639b11,0,Mohsin Khan
2,0,0,4,4,2019-100mb00000000066-573f78a31e3711,1,Trent Boult
2,1,0,6,2,2023-100mb00000002806-75b62b2495ca11,0,Nandre Burger
2,2,0,1,1,2019-100mb00000000066-573f78a31e3711,1,Trent Boult
2,3,0,11,11,2023-100mb00000002806-75b62b2495ca11,1,Nandre Burger
2,4,0,10,10,2019-100mb00000000066-573f78a31e3711,0,Trent Boult
2,5,0,15,15,2018-100mb00000000045-f658f1b6f88a11,0,Ravichandran Ashwin
2,6,0,10,10,2019-100mb00000000109-5cc123ab449411,0,Avesh Khan
2,7,0,4,4,2018-100mb00000000010-b76159ade99b11,1,Yuzvendra Chahal
2,8,0,5,5,2019-100mb00000000109-5cc123ab449411,0,Avesh Khan
2,9,0,10,10,2018-100mb00000000010-b76159ade99b11,0,Yuzvendra Chahal
2,10,0,17,17,2023-100mb00000002806-75b62b2495ca11,0,Nandre Burger
2,11,0,9,9,2018-100mb00000000045-f658f1b6f88a11,0,Ravichandran Ashwin
2,12,0,20,20,2019-100mb00000000066-573f78a31e3711,0,Trent Boult
2,13,0,7,7,2018-100mb00000000045-f658f1b6f88a11,0,Ravichandran Ashwin
2,14,0,5,5,2019-100mb00000000220-18a6ceb644c011,0,Sandeep Sharma
2,15,0,11,11,2018-100mb00000000010-b76159ade99b11,0,Yuzvendra Chahal
2,16,0,7,7,2019-100mb00000000220-18a6ceb644c011,1,Sandeep Sharma
2,17,0,4,4,2018-100mb00000000045-f658f1b6f88a11,1,Ravichandran Ashwin
2,18,0,11,10,2019-100mb00000000220-18a6ceb644c011,0,Sandeep Sharma
2,19,0,6,6,2019-100mb00000000109-5cc123ab449411,0,Avesh Khan
1,0,0,3,3,2020-100mb00000000541-c84d8371639b11,0,Mohsin Khan
1,1,0,10,10,2021-100mb00000000639-cf9c67ec2fe411,1,Naveen-Ul-Haq
1,2,0,11,11,2020-100mb00000000541-c84d8371639b11,0,Mohsin Khan
1,3,0,8,8,2021-100mb00000000639-cf9c67ec2fe411,0,Naveen-Ul-Haq
1,4,0,17,17,2020-100mb00000000541-c84d8371639b11,1,Mohsin Khan
1,5,0,5,5,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,6,0,5,5,2020-100mb00000000520-c2b1e0df638711,0,Ravi Bishnoi
1,7,0,4,4,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,8,0,21,21,2022-100mb00000001550-b8b1d54854ee11,0,Yash Thakur
1,9,0,5,4,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,10,0,15,15,2020-100mb00000000520-c2b1e0df638711,0,Ravi Bishnoi
1,11,0,6,6,2018-100mb00000000017-5e389774e99c11,0,Krunal Pandya
1,12,0,9,9,2020-100mb00000000520-c2b1e0df638711,0,Ravi Bishnoi
1,13,0,9,9,2022-100mb00000001550-b8b1d54854ee11,0,Yash Thakur
1,14,0,15,15,2021-100mb00000000639-cf9c67ec2fe411,1,Naveen-Ul-Haq
1,15,0,6,6,2022-100mb00000000985-f5950061a44811,0,Ayush Badoni
1,16,0,9,9,2020-100mb00000000520-c2b1e0df638711,1,Ravi Bishnoi
1,17,0,13,13,2022-100mb00000001550-b8b1d54854ee11,0,Yash Thakur
1,18,0,8,8,2021-100mb00000000639-cf9c67ec2fe411,0,Naveen-Ul-Haq
1,19,0,14,14,2020-100mb00000000541-c84d8371639b11,0,Mohsin Khan
2,0,0,4,4,2019-100mb00000000066-573f78a31e3711,1,Trent Boult
2,1,0,6,2,2023-100mb00000002806-75b62b2495ca11,0,Nandre Burger
2,2,0,1,1,2019-100mb00000000066-573f78a31e3711,1,Trent Boult
2,3,0,11,11,2023-100mb00000002806-75b62b2495ca11,1,Nandre Burger
2,4,0,10,10,2019-100mb00000000066-573f78a31e3711,0,Trent Boult
2,5,0,15,15,2018-100mb00000000045-f658f1b6f88a11,0,Ravichandran Ashwin
2,6,0,10,10,2019-100mb00000000109-5cc123ab449411,0,Avesh Khan
2,7,0,4,4,2018-100mb00000000010-b76159ade99b11,1,Yuzvendra Chahal
2,8,0,5,5,2019-100mb00000000109-5cc123ab449411,0,Avesh Khan
2,9,0,10,10,2018-100mb00000000010-b76159ade99b11,0,Yuzvendra Chahal
2,10,0,17,17,2023-100mb00000002806-75b62b2495ca11,0,Nandre Burger
2,11,0,9,9,2018-100mb00000000045-f658f1b6f88a11,0,Ravichandran Ashwin
2,12,0,20,20,2019-100mb00000000066-573f78a31e3711,0,Trent Boult
2,13,0,7,7,2018-100mb00000000045-f658f1b6f88a11,0,Ravichandran Ashwin
2,14,0,5,5,2019-100mb00000000220-18a6ceb644c011,0,Sandeep Sharma
2,15,0,11,11,2018-100mb00000000010-b76159ade99b11,0,Yuzvendra Chahal
2,16,0,7,7,2019-100mb00000000220-18a6ceb644c011,1,Sandeep Sharma
2,17,0,4,4,2018-100mb00000000045-f658f1b6f88a11,1,Ravichandran Ashwin
2,18,0,11,10,2019-100mb00000000220-18a6ceb644c011,0,Sandeep Sharma
2,19,0,6,6,2019-100mb00000000109-5cc123ab449411,0,Avesh Khan
1,0,0,11,11,2018-100mb00000000054-e3ebefa2050a11,0,Hardik Pandya
1,1,0,7,6,2024-100mb00000003116-51a9a019e5e811,0,Luke Wood
1,2,0,9,9,2018-100mb00000000054-e3ebefa2050a11,0,Hardik Pandya
1,3,0,4,4,2018-100mb00000000009-92bfdfe9e99b11,1,Jasprit Bumrah
1,4,0,12,12,2021-100mb00000000600-e91c35199df211,0,Shams Mulani
1,5,0,4,4,2019-100mb00000000149-10d5663944a911,0,Piyush Chawla
1,6,0,9,9,2021-100mb00000000600-e91c35199df211,0,Shams Mulani
1,7,0,10,10,2019-100mb00000000149-10d5663944a911,1,Piyush Chawla
1,8,0,3,3,2021-100mb00000000600-e91c35199df211,0,Shams Mulani
1,9,0,13,13,2024-100mb00000003107-805cae57df9b11,0,Naman Dhir
1,10,0,17,17,2019-100mb00000000149-10d5663944a911,0,Piyush Chawla
1,11,0,5,4,2023-100mb00000002535-239c770f61da11,1,Gerald Coetzee
