MatchID,InningsNo,TeamID,PlayerID,PlayerName,PlayerImage,PlayingOrder,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage,DotBallFrequency,Ones,Twos,Threes,Fours,Sixes,BoundaryPercentage,BoundaryFrequency,StrikeRate,MinOver,MinStrikerOver,WicketNo,AgainstFast,AgainstSpin,AgainstFastPercent,AgainstSpinPercent,PLAYER_ID
1355,1,14,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav ,https://scores.iplt20.com/ipl/playerimages/7JPq8NqJBI171117132314.png,10.0,9,Harshal Patel,run out (Shashank Singh),run out (Shashank Singh),1,2,1,50.00,2.00,1,0,0,0,0,0.00,,50.00,0,0,8,2,0,100.00,0.00,14
1355,1,14,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed ,https://scores.iplt20.com/ipl/playerimages/8fYU7gFN2517111714428.png,,10,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,8
1355,1,14,2018-100mb00000000050-4663b710f88b11,Ishant Sharma ,https://scores.iplt20.com/ipl/playerimages/Sjq3Umqtsz171117108450.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,50
1355,2,15,2018-100mb00000000011-cbf5eb14e99b11,Shikhar Dhawan (c),https://scores.iplt20.com/ipl/playerimages/subiZWRent171117006111.png,1.0,1,Ishant Sharma,b Ishant Sharma,b Ishant Sharma,22,16,7,43.75,2.29,4,1,0,4,0,72.73,4.00,137.50,0,0,5,16,0,100.00,0.00,11
1355,2,15,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow ,https://scores.iplt20.com/ipl/playerimages/USwdQomYyg1711170377216.png,2.0,2,Ishant Sharma,run out (Ishant Sharma),run out (Ishant Sharma),9,3,0,0.00,,1,0,0,2,0,88.89,1.50,300.00,0,0,4,3,0,100.00,0.00,216
1355,2,15,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh  (IP),https://scores.iplt20.com/ipl/playerimages/u61HfGHXit1711170179137.png,3.0,9,Kuldeep Yadav,c David Warner b Kuldeep Yadav,c David Warner b Kuldeep Yadav,26,17,6,35.29,2.83,6,0,0,5,0,76.92,3.40,152.94,0,0,3,8,9,47.06,52.94,137
1355,2,15,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran ,https://scores.iplt20.com/ipl/playerimages/FI9s4lCvoB1711173253138.png,4.0,5,Khaleel Ahmed,b Khaleel Ahmed,b Khaleel Ahmed,63,47,12,25.53,3.92,23,5,0,6,1,47.62,6.71,134.04,0,0,10,24,23,51.06,48.94,138
1355,2,15,2022-100mb00000001000-d90666b7a44d11,Jitesh Sharma (wk),https://scores.iplt20.com/ipl/playerimages/1eHCSP8cYW17111700351000.png,5.0,4,Kuldeep Yadav,st Rishabh Pant b Kuldeep Yadav,st Rishabh Pant b Kuldeep Yadav,9,9,3,33.33,3.00,5,0,0,1,0,44.44,9.00,100.00,0,0,1,4,5,44.44,55.56,1000
1355,2,15,2019-100mb00000000183-f4a991db44b611,Liam Livingstone ,https://scores.iplt20.com/ipl/playerimages/pUwFBE2gZx1711170298183.png,6.0,3,,not out,not out,38,21,4,19.05,5.25,12,0,0,2,3,68.42,4.20,180.95,0,0,,10,11,47.62,52.38,183
1355,2,15,2019-100mb00000000191-df21803b44b711,Shashank Singh ,https://scores.iplt20.com/ipl/playerimages/sL3P8qAVv41711170317191.png,7.0,6,Khaleel Ahmed,c Rishabh Pant b Khaleel Ahmed,c Rishabh Pant b Khaleel Ahmed,0,1,1,100.00,1.00,0,0,0,0,0,,,0.00,0,0,2,1,0,100.00,0.00,191
1355,2,15,2019-100mb00000000130-89338eb7449a11,Harpreet Brar ,https://scores.iplt20.com/ipl/playerimages/Cmg9oXuZj31711170126130.png,8.0,8,,not out,not out,2,2,1,50.00,2.00,0,1,0,0,0,0.00,,100.00,0,0,,2,0,100.00,0.00,130
1355,2,15,2019-100mb00000000114-8c98068c449611,Harshal Patel ,https://scores.iplt20.com/ipl/playerimages/07aAWmz69E1711170075114.png,,7,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,114
1355,2,15,2019-100mb00000000116-dbd48930449611,Kagiso Rabada ,https://scores.iplt20.com/ipl/playerimages/aB3QYts8Ln1711170090116.png,,10,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,116
1355,2,15,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar ,https://scores.iplt20.com/ipl/playerimages/TN9gJjaQd61711170274171.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,171
1355,2,15,2019-100mb00000000125-2485f88b449911,Arshdeep Singh  (RP),https://scores.iplt20.com/ipl/playerimages/A3OtoulUW21711170102125.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,125
1356,1,16,2022-100mb00000001220-372333e3f9f711,Phil Salt (wk),https://scores.iplt20.com/ipl/playerimages/xVEgObedpn17111062871220.png,1.0,2,Mayank Markande,c Marco Jansen b Mayank Markande,c Marco Jansen b Mayank Markande,54,40,14,35.00,2.86,16,4,0,3,3,55.56,6.67,135.00,0,0,5,28,12,70.00,30.00,1220
1356,1,16,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine ,https://scores.iplt20.com/ipl/playerimages/3SpsGTCTap1711106395156.png,2.0,7,Marco Jansen,run out (Shahbaz Ahmed),run out (Shahbaz Ahmed),2,4,2,50.00,2.00,2,0,0,0,0,0.00,,50.00,0,0,4,4,0,100.00,0.00,156
1356,1,16,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer ,https://scores.iplt20.com/ipl/playerimages/Vlz3yFvFOc1711106555584.png,3.0,3,T Natarajan,c Marco Jansen b T Natarajan,c Marco Jansen b T Natarajan,7,5,2,40.00,2.50,1,1,0,1,0,57.14,5.00,140.00,0,0,6,5,0,100.00,0.00,584
1356,1,16,2018-100mb00000000012-ea4c47d2e99b11,Shreyas Iyer (c),https://scores.iplt20.com/ipl/playerimages/1QBCWO2zhl171110625912.png,4.0,1,T Natarajan,c Pat Cummins b T Natarajan,c Pat Cummins b T Natarajan,0,2,2,100.00,1.00,0,0,0,0,0,,,0.00,0,0,3,2,0,100.00,0.00,12
1356,1,16,2019-100mb00000000148-ef59629644a811,Nitish Rana ,https://scores.iplt20.com/ipl/playerimages/x7Y9QCgy321711106352148.png,5.0,5,Mayank Markande,c Rahul Tripathi b Mayank Markande,c Rahul Tripathi b Mayank Markande,9,11,6,54.55,1.83,3,1,0,1,0,44.44,11.00,81.82,0,0,1,9,2,81.82,18.18,148
1356,1,16,2022-100mb00000000991-d9fbad51a44b11,Ramandeep Singh  (RP),https://scores.iplt20.com/ipl/playerimages/X9K4X2qutU1711106634991.png,6.0,11,Pat Cummins,c Mayank Markande b Pat Cummins,c Mayank Markande b Pat Cummins,35,17,6,35.29,2.83,5,1,0,1,4,80.00,3.40,205.88,0,0,7,8,8,47.06,47.06,991
1356,1,16,2019-100mb00000000152-335aed3d44aa11,Rinku Singh ,https://scores.iplt20.com/ipl/playerimages/La76P0ZzSW1711106362152.png,7.0,4,T Natarajan,c Aiden Markram b T Natarajan,c Aiden Markram b T Natarajan,23,15,3,20.00,5.00,7,2,0,3,0,52.17,5.00,153.33,0,0,2,14,1,93.33,6.67,152
1356,1,16,2019-100mb00000000141-e67c41d144a711,Andre Russell ,https://scores.iplt20.com/ipl/playerimages/k9HNNNr5UH1711106337141.png,8.0,6,,not out,not out,64,25,6,24.00,4.17,8,1,0,3,7,84.38,2.50,256.00,0,0,,17,7,68.00,28.00,141
1356,1,16,2018-100mb00000000031-b334eaf6f08611,Mitchell Starc ,https://scores.iplt20.com/ipl/playerimages/h2OT7bDEjJ171110650931.png,9.0,9,,not out,not out,6,3,0,0.00,,2,0,0,1,0,66.67,3.00,200.00,0,0,,3,0,100.00,0.00,31
1356,1,16,2023-100mb00000001932-5539f1d7c3fd11,Suyash Sharma  (IP),https://scores.iplt20.com/ipl/playerimages/h9qVOTHKc217111064991932.png,,8,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,1932
1356,1,16,2022-100mb00000001013-30676520bcc011,Harshit Rana ,https://scores.iplt20.com/ipl/playerimages/QZDTDwqZgk17111062411013.png,,10,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,1013
1356,1,16,2019-100mb00000000140-a41b85f2449d11,Varun Chakaravarthy ,https://scores.iplt20.com/ipl/playerimages/ORNmMBJKWk1711106326140.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,140
1356,2,20,2018-100mb00000000055-ed853d8f050a11,Mayank Agarwal ,https://scores.iplt20.com/ipl/playerimages/zELWeYhZMQ171117280755.png,1.0,2,Harshit Rana,c Rinku Singh b Harshit Rana,c Rinku Singh b Harshit Rana,32,21,9,42.86,2.33,4,3,0,4,1,68.75,4.20,152.38,0,0,5,20,1,95.24,4.76,55
1356,2,20,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma  (IP),https://scores.iplt20.com/ipl/playerimages/dQpGnjmPeu1711172702212.png,2.0,11,Andre Russell,c Varun Chakaravarthy b Andre Russell,c Varun Chakaravarthy b Andre Russell,32,19,9,47.37,2.11,4,0,0,4,2,87.50,3.17,168.42,0,0,3,11,8,57.89,42.11,212
1356,2,20,2019-100mb00000000188-896b509b44b711,Rahul Tripathi ,https://scores.iplt20.com/ipl/playerimages/WZNlcaq2Z01711172177188.png,3.0,3,Sunil Narine,c Harshit Rana b Sunil Narine,c Harshit Rana b Sunil Narine,20,20,7,35.00,2.86,10,2,0,0,1,30.00,20.00,100.00,0,0,1,3,17,15.00,85.00,188
1356,2,20,2019-100mb00000000287-ca1a6bb17ae311,Aiden Markram ,https://scores.iplt20.com/ipl/playerimages/YtVGIjij0f1711172711287.png,4.0,4,Varun Chakaravarthy,c Rinku Singh b Varun Chakaravarthy,c Rinku Singh b Varun Chakaravarthy,18,13,2,15.38,6.50,8,1,0,2,0,44.44,6.50,138.46,0,0,4,2,11,15.38,84.62,287
1356,2,20,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen (wk),https://scores.iplt20.com/ipl/playerimages/iyUTeZybFC1711172231202.png,5.0,5,Harshit Rana,c Suyash Sharma b Harshit Rana,c Suyash Sharma b Harshit Rana,63,29,9,31.03,3.22,9,3,0,0,8,76.19,3.63,217.24,0,0,6,13,16,44.83,55.17,202
1356,2,20,2020-100mb00000000525-4d2e1ac6639511,Abdul Samad ,https://scores.iplt20.com/ipl/playerimages/r4QabEK0yx1711172786525.png,6.0,6,Andre Russell,c Venkatesh Iyer b Andre Russell,c Venkatesh Iyer b Andre Russell,15,11,4,36.36,2.75,5,0,0,1,1,66.67,5.50,136.36,0,0,7,6,5,54.55,45.45,525
1356,2,20,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed ,https://scores.iplt20.com/ipl/playerimages/yiujPw2PGz1711172768523.png,7.0,7,Harshit Rana,c Shreyas Iyer b Harshit Rana,c Shreyas Iyer b Harshit Rana,16,5,2,40.00,2.50,0,0,0,1,2,100.00,1.67,320.00,0,0,2,3,2,60.00,40.00,523
1356,2,20,2021-100mb00000000586-8238f85f91de11,Marco Jansen ,https://scores.iplt20.com/ipl/playerimages/RtbLm7gECp1711203285586.png,8.0,8,,not out,not out,1,1,0,0.00,,1,0,0,0,0,0.00,,100.00,0,0,,1,0,100.00,0.00,586
1356,2,20,2018-100mb00000000033-d93110bbf88911,Pat Cummins (c),https://scores.iplt20.com/ipl/playerimages/nkEjJbcW10171117272233.png,9.0,1,,not out,not out,0,1,1,100.00,1.00,0,0,0,0,0,,,0.00,0,0,,1,0,100.00,0.00,33
1356,2,20,2018-100mb00000000015-3501d442e99c11,Bhuvneshwar Kumar ,https://scores.iplt20.com/ipl/playerimages/dsql7EUu0c171117214215.png,,9,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,15
1356,2,20,2019-100mb00000000087-98d4e401342511,Mayank Markande ,https://scores.iplt20.com/ipl/playerimages/ETA1xk7nM9171117289187.png,,10,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,87
1356,2,20,2019-100mb00000000224-85b4cb8c44c011,T Natarajan  (RP),https://scores.iplt20.com/ipl/playerimages/5QBp8S0tJv1711172340224.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,224
1357,1,18,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal ,https://scores.iplt20.com/ipl/playerimages/v1eFf0SmF81711189599533.png,1.0,2,Mohsin Khan,c Krunal Pandya b Mohsin Khan,c Krunal Pandya b Mohsin Khan,24,12,3,25.00,4.00,4,1,0,3,1,75.00,3.00,200.00,0,0,1,12,0,100.00,0.00,533
1357,1,18,2019-100mb00000000182-b78f12ef44b611,Jos Buttler ,https://scores.iplt20.com/ipl/playerimages/HuTnlRlLzZ1711189306182.png,2.0,3,Naveen-Ul-Haq,c KL Rahul b Naveen-Ul-Haq,c KL Rahul b Naveen-Ul-Haq,11,9,5,55.56,1.80,1,1,0,2,0,72.73,4.50,122.22,0,0,2,9,0,100.00,0.00,182
1357,1,18,2019-100mb00000000190-c62cbae544b711,Sanju Samson (c)(wk),https://scores.iplt20.com/ipl/playerimages/PqEWOFQPBe1711457630190.png,3.0,1,,not out,not out,82,52,12,23.08,4.33,28,3,0,3,6,58.54,5.78,157.69,0,0,,26,25,50.00,48.08,190
1357,1,18,2019-100mb00000000189-ac8c327a44b711,Riyan Parag ,https://scores.iplt20.com/ipl/playerimages/7BnbUFbfBD1711189330189.png,4.0,4,Naveen-Ul-Haq,c Deepak Hooda b Naveen-Ul-Haq,c Deepak Hooda b Naveen-Ul-Haq,43,29,6,20.69,4.83,17,2,0,1,3,51.16,7.25,148.28,0,0,4,9,20,31.03,68.97,189
1357,1,18,2019-100mb00000000210-b8addb3444bb11,Shimron Hetmyer  (RP),https://scores.iplt20.com/ipl/playerimages/oRAlIDkLMN1711189420210.png,5.0,11,Ravi Bishnoi,c KL Rahul b Ravi Bishnoi,c KL Rahul b Ravi Bishnoi,5,7,3,42.86,2.33,3,1,0,0,0,0.00,,71.43,0,0,3,1,6,14.29,85.71,210
1357,1,18,2022-100mb00000001004-da6e207ea44e11,Dhruv Jurel ,https://scores.iplt20.com/ipl/playerimages/5srFDk0WAJ17111891651004.png,6.0,6,,not out,not out,20,12,3,25.00,4.00,4,3,0,1,1,50.00,6.00,166.67,0,0,,9,3,75.00,25.00,1004
1357,1,18,2023-100mb00000002806-75b62b2495ca11,Nandre Burger  (IP),https://scores.iplt20.com/ipl/playerimages/aOvMmqNnkg17111894802806.png,,5,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,2806
1357,1,18,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin ,https://scores.iplt20.com/ipl/playerimages/En06Wn4iCk171118957745.png,,7,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,45
1357,1,18,2019-100mb00000000066-573f78a31e3711,Trent Boult ,https://scores.iplt20.com/ipl/playerimages/Wa9rgbogK3171118961566.png,,8,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,66
1357,1,18,2019-100mb00000000109-5cc123ab449411,Avesh Khan ,https://scores.iplt20.com/ipl/playerimages/g6BwFLm75S1711189203109.png,,9,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,109
1357,1,18,2019-100mb00000000220-18a6ceb644c011,Sandeep Sharma ,https://scores.iplt20.com/ipl/playerimages/NMAZJ7pqps1711189453220.png,,10,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,220
1357,1,18,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal ,https://scores.iplt20.com/ipl/playerimages/7pqk8PQ0v1171118915510.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,10
1357,2,77,2019-100mb00000000170-9429250944ae11,Quinton De Kock ,https://scores.iplt20.com/ipl/playerimages/ixKNBqd8EU1711261997170.png,1.0,2,Trent Boult,c Nandre Burger b Trent Boult,c Nandre Burger b Trent Boult,4,5,4,80.00,1.25,0,0,0,1,0,100.00,5.00,80.00,0,0,5,5,0,100.00,0.00,170
1357,2,77,2018-100mb00000000019-80e59e32e99c11,KL Rahul (c)(wk),https://scores.iplt20.com/ipl/playerimages/6cmm6s8czq171145722419.png,2.0,1,Sandeep Sharma,c Dhruv Jurel b Sandeep Sharma,c Dhruv Jurel b Sandeep Sharma,58,44,12,27.27,3.67,22,4,0,4,2,48.28,7.33,131.82,0,0,1,26,18,59.09,40.91,19
1357,2,77,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal ,https://scores.iplt20.com/ipl/playerimages/u6KsneXZjm1711262067200.png,3.0,3,Trent Boult,b Trent Boult,b Trent Boult,0,3,3,100.00,1.00,0,0,0,0,0,,,0.00,0,0,9,3,0,100.00,0.00,200
1357,2,77,2022-100mb00000000985-f5950061a44811,Ayush Badoni ,https://scores.iplt20.com/ipl/playerimages/Pi1IydigUB1711262305985.png,4.0,4,Nandre Burger,c Jos Buttler b Nandre Burger,c Jos Buttler b Nandre Burger,1,5,4,80.00,1.25,1,0,0,0,0,0.00,,20.00,0,0,4,5,0,100.00,0.00,985
1357,2,77,2019-100mb00000000215-f86e728844bc11,Deepak Hooda  (IP),https://scores.iplt20.com/ipl/playerimages/XC1MHioMyc1711262116215.png,5.0,11,Yuzvendra Chahal,c Dhruv Jurel b Yuzvendra Chahal,c Dhruv Jurel b Yuzvendra Chahal,26,13,3,23.08,4.33,6,0,0,2,2,76.92,3.25,200.00,0,0,2,10,3,76.92,23.08,215
1357,2,77,2019-100mb00000000136-9313d156449c11,Nicholas Pooran ,https://scores.iplt20.com/ipl/playerimages/8uhZbeLXqk1711261950136.png,6.0,6,,not out,not out,64,41,11,26.83,3.73,20,2,0,4,4,62.50,5.13,156.10,0,0,,24,17,58.54,41.46,136
1357,2,77,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis ,https://scores.iplt20.com/ipl/playerimages/PWfOJHNjDe171126212723.png,7.0,5,Ravichandran Ashwin,c Dhruv Jurel b Ravichandran Ashwin,c Dhruv Jurel b Ravichandran Ashwin,3,4,1,25.00,4.00,3,0,0,0,0,0.00,,75.00,0,0,3,2,2,50.00,50.00,23
1357,2,77,2018-100mb00000000017-5e389774e99c11,Krunal Pandya ,https://scores.iplt20.com/ipl/playerimages/4BJlUSLBag171126198517.png,8.0,7,,not out,not out,3,5,2,40.00,2.50,3,0,0,0,0,0.00,,60.00,0,0,,3,2,60.00,40.00,17
1357,2,77,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi ,https://scores.iplt20.com/ipl/playerimages/n4TyIjAG5P1711262182520.png,,8,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,520
1357,2,77,2020-100mb00000000541-c84d8371639b11,Mohsin Khan ,https://scores.iplt20.com/ipl/playerimages/2dXTjjefkA1711262214541.png,,9,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,541
1357,2,77,2021-100mb00000000639-cf9c67ec2fe411,Naveen-Ul-Haq ,https://scores.iplt20.com/ipl/playerimages/LBgPOkixH71711262248639.png,,10,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,639
1357,2,77,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur  (RP),https://scores.iplt20.com/ipl/playerimages/K9kzaasN0P17112619751550.png,,11,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,1550
1358,1,35,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha (wk),https://scores.iplt20.com/ipl/playerimages/O1Ae7XNNZS1711262843225.png,1.0,2,Jasprit Bumrah,b Jasprit Bumrah,b Jasprit Bumrah,19,15,8,53.33,1.88,3,0,0,4,0,84.21,3.75,126.67,0,0,9,15,0,100.00,0.00,225
1358,1,35,2019-100mb00000000062-8fa4884a17f311,Shubman Gill (c),https://scores.iplt20.com/ipl/playerimages/my5xvakffA171126318662.png,2.0,1,Piyush Chawla,c Rohit Sharma b Piyush Chawla,c Rohit Sharma b Piyush Chawla,31,22,9,40.91,2.44,5,4,0,3,1,58.06,5.50,140.91,0,0,3,9,13,40.91,59.09,62
1358,1,35,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan  (RP),https://scores.iplt20.com/ipl/playerimages/YqiCcPXvnI1711263560976.png,3.0,11,Jasprit Bumrah,c Tilak Varma b Jasprit Bumrah,c Tilak Varma b Jasprit Bumrah,45,39,12,30.77,3.25,19,4,0,3,1,40.00,9.75,115.38,0,0,5,19,20,48.72,51.28,976
1358,1,35,2022-100mb00000001354-5a766b041e0411,Azmatullah Omarzai ,https://scores.iplt20.com/ipl/playerimages/GOULk3TwEz17112627831354.png,4.0,7,Gerald Coetzee,c Tilak Varma b Gerald Coetzee,c Tilak Varma b Gerald Coetzee,17,11,3,27.27,3.67,5,1,0,1,1,58.82,5.50,154.55,0,0,4,2,9,18.18,81.82,1354
1358,1,35,2019-100mb00000000128-e95bebea449911,David Miller ,https://scores.iplt20.com/ipl/playerimages/lrQWfzyC4R1711262763128.png,5.0,5,Jasprit Bumrah,c Hardik Pandya b Jasprit Bumrah,c Hardik Pandya b Jasprit Bumrah,12,11,3,27.27,3.67,6,1,0,1,0,33.33,11.00,109.09,0,0,2,11,0,100.00,0.00,128
1358,1,35,2019-100mb00000000061-6d68257c17f311,Vijay Shankar ,https://scores.iplt20.com/ipl/playerimages/Ke67FJi2m1171126316961.png,6.0,4,,not out,not out,6,5,0,0.00,,4,1,0,0,0,0.00,,120.00,0,0,,5,0,100.00,0.00,61
1358,1,35,2019-100mb00000000120-7489ddcc449711,Rahul Tewatia ,https://scores.iplt20.com/ipl/playerimages/UJBfjMpLzp1711262739120.png,7.0,6,Gerald Coetzee,c Naman Dhir b Gerald Coetzee,c Naman Dhir b Gerald Coetzee,22,15,6,40.00,2.50,4,2,0,2,1,63.64,5.00,146.67,0,0,1,14,0,93.33,0.00,120
